Area,Size_sqft,Bedrooms,Bathrooms,Amenities,Furnishing,View,Developer,YearBuilt,ParkingSpaces,AnnualRent,PropertyValuation,PropertyType
JVC,3065,3,2,"Gym, Smart Home, Parking, Pet Friendly, Kids Area",Furnished,Sea,Damac,2023,1,148353,3684338,Townhouse
The Springs,573,3,4,"Pet Friendly, Pool, Balcony, Gym",Furnished,City,Nakheel,2015,2,29169,572683,Apartment
Downtown,951,1,1,"Parking, Maid Room, Smart Home, Kids Area, Balcony, Gym",Semi-Furnished,Park,Emaar,2006,2,36095,696326,Apartment
Arabian Ranches,2128,4,3,"Security, Pool, Balcony, Pet Friendly, Maid Room, Kids Area",Unfurnished,Park,Damac,2024,2,187571,2770355,Townhouse
The Springs,620,1,1,"Kids Area, Gym, Pet Friendly, Maid Room",Furnished,Sea,Meraas,2010,2,57048,918313,Apartment
The Springs,977,2,1,"Balcony, Parking, Kids Area, Security, Pool, Pet Friendly",Semi-Furnished,Sea,Damac,2022,1,63698,1204703,Apartment
Palm Jumeirah,5817,3,4,"Balcony, Parking, Pool, Gym",Furnished,Street,Emaar,2008,1,530961,10058164,Villa
Business Bay,504,2,2,"Balcony, Maid Room, Parking, Smart Home, Kids Area",Furnished,None,Sobha,2020,1,22860,475489,Apartment
JLT,3257,3,2,"Gym, Parking, Maid Room, Pet Friendly, Kids Area",Unfurnished,City,Nakheel,2009,2,204736,3518079,Townhouse
The Springs,1406,2,2,"Pool, Maid Room, Kids Area, Gym, Security",Furnished,City,Damac,2023,2,104945,1819849,Apartment
Arabian Ranches,965,1,2,"Pool, Maid Room, Smart Home, Kids Area, Security, Gym",Furnished,None,Meraas,2006,1,82639,1219497,Apartment
Dubai Marina,3067,3,3,"Balcony, Parking, Gym, Pool, Kids Area, Maid Room",Unfurnished,City,Azizi,2011,2,235565,3829094,Townhouse
The Springs,1258,3,4,"Parking, Security, Kids Area",Furnished,City,Emaar,2018,1,102172,1680074,Apartment
The Springs,1490,3,2,"Smart Home, Pet Friendly, Security, Balcony",Semi-Furnished,None,Damac,2006,1,59859,1047291,Apartment
JVC,3419,4,4,"Security, Balcony, Parking, Kids Area, Pet Friendly",Unfurnished,Sea,Nakheel,2007,1,222297,4559461,Townhouse
Downtown,2368,2,2,"Balcony, Maid Room, Security",Furnished,Sea,Meraas,2011,3,169942,3327417,Townhouse
Dubai Marina,2924,3,4,"Pet Friendly, Security, Parking, Gym",Unfurnished,Sea,Damac,2007,3,233827,5161525,Townhouse
JVC,1993,3,2,"Security, Balcony, Pet Friendly, Smart Home, Pool, Parking",Semi-Furnished,Park,Azizi,2020,2,77153,1643254,Apartment
The Springs,1381,1,1,"Smart Home, Parking, Pet Friendly, Pool",Furnished,None,Sobha,2023,1,68347,1682129,Apartment
Downtown,3474,3,4,"Pool, Parking, Gym, Balcony",Furnished,Street,Meraas,2012,1,233628,5295442,Townhouse
JVC,4047,6,5,"Gym, Maid Room, Pool",Furnished,Sea,Damac,2004,3,361225,5664331,Villa
JVC,2017,4,5,"Pool, Balcony, Maid Room, Smart Home, Security",Semi-Furnished,Park,Damac,2010,2,80237,1925253,Townhouse
JLT,3004,3,2,"Maid Room, Security, Gym",Unfurnished,Street,Nakheel,2000,1,130730,2475298,Villa
Downtown,987,1,2,"Pool, Smart Home, Maid Room, Gym, Pet Friendly, Kids Area",Semi-Furnished,City,Emaar,2019,2,53100,784349,Apartment
Dubai Marina,3038,2,1,"Maid Room, Kids Area, Security, Pool, Balcony, Smart Home",Unfurnished,City,Azizi,2009,2,244989,5089871,Townhouse
Palm Jumeirah,3587,3,2,"Parking, Kids Area, Pool, Balcony",Semi-Furnished,Street,Emaar,2003,3,272103,4402874,Villa
Downtown,661,1,1,"Kids Area, Smart Home, Balcony, Pet Friendly, Maid Room",Unfurnished,City,Nakheel,2020,1,37577,665328,Apartment
Palm Jumeirah,871,2,1,"Maid Room, Balcony, Kids Area, Gym, Pool, Parking",Furnished,Park,Emaar,2011,3,41364,939931,Apartment
Dubai Marina,1115,2,1,"Smart Home, Parking, Pet Friendly, Security, Balcony",Furnished,Park,Nakheel,2001,3,62210,903418,Apartment
Downtown,453,3,3,"Gym, Pool, Kids Area, Security, Maid Room",Semi-Furnished,None,Nakheel,2000,1,19043,449464,Apartment
Dubai Marina,1252,1,1,"Parking, Security, Balcony, Pet Friendly, Maid Room, Kids Area",Unfurnished,Sea,Damac,2003,1,55509,936496,Apartment
Downtown,422,2,2,"Maid Room, Security, Smart Home, Pet Friendly, Parking, Pool",Semi-Furnished,Park,Damac,2002,3,28979,422864,Apartment
Business Bay,514,1,1,"Maid Room, Pool, Pet Friendly, Kids Area",Semi-Furnished,Street,Damac,2020,3,27063,526377,Apartment
JVC,3124,3,2,"Pool, Maid Room, Gym, Parking, Security",Semi-Furnished,Sea,Nakheel,2009,1,175855,4191058,Townhouse
JVC,3766,4,5,"Gym, Balcony, Parking, Maid Room",Unfurnished,None,Emaar,2018,2,157449,3184833,Villa
JLT,1130,2,2,"Kids Area, Pet Friendly, Maid Room, Parking",Furnished,Sea,Damac,2013,3,68624,1246234,Apartment
Downtown,1182,2,3,"Security, Parking, Pool",Unfurnished,Street,Emaar,2020,1,81142,1728384,Apartment
Business Bay,3139,2,3,"Maid Room, Kids Area, Balcony, Pool",Semi-Furnished,City,Damac,2019,2,161854,2636800,Townhouse
The Springs,1650,3,2,"Smart Home, Pool, Pet Friendly, Gym",Furnished,City,Azizi,2002,2,63208,1279230,Apartment
JLT,973,3,3,"Pool, Maid Room, Smart Home, Kids Area, Balcony",Semi-Furnished,Street,Damac,2024,2,52494,1187287,Apartment
Dubai Marina,2799,2,2,"Pet Friendly, Maid Room, Smart Home, Security, Pool",Semi-Furnished,City,Azizi,2019,2,198639,3285138,Townhouse
Palm Jumeirah,1797,1,2,"Balcony, Gym, Pool",Furnished,City,Sobha,2005,3,77286,1831905,Apartment
The Springs,3170,2,2,"Smart Home, Maid Room, Gym, Pet Friendly, Pool, Kids Area",Semi-Furnished,Street,Nakheel,2012,2,137766,2740374,Townhouse
Palm Jumeirah,1918,2,1,"Smart Home, Gym, Security, Pool, Balcony",Furnished,Park,Damac,2018,1,180719,2858296,Apartment
JVC,2540,3,3,"Gym, Balcony, Pet Friendly, Maid Room",Unfurnished,Street,Damac,2008,3,109714,2479308,Townhouse
JLT,1010,3,3,"Maid Room, Balcony, Kids Area, Parking, Pool, Gym",Furnished,Street,Damac,2024,2,42398,839942,Apartment
The Springs,1496,3,2,"Kids Area, Pet Friendly, Smart Home, Gym, Security, Pool",Furnished,None,Azizi,2004,2,119183,1841950,Apartment
Arabian Ranches,1339,1,1,"Pool, Pet Friendly, Parking, Security, Gym",Semi-Furnished,Park,Meraas,2014,3,84807,1975782,Apartment
Business Bay,3268,6,7,"Pet Friendly, Balcony, Parking, Pool",Furnished,None,Emaar,2011,2,178442,2667313,Villa
Dubai Marina,5157,6,6,"Kids Area, Maid Room, Pet Friendly, Security, Balcony, Parking",Furnished,Park,Sobha,2013,2,291423,5037848,Villa
The Springs,1750,3,4,"Security, Pool, Gym, Pet Friendly, Kids Area, Maid Room",Unfurnished,Street,Emaar,2015,3,154447,2277417,Apartment
Dubai Marina,4561,3,4,"Pet Friendly, Balcony, Pool, Smart Home, Security",Semi-Furnished,Sea,Nakheel,2015,1,334884,5247949,Villa
Palm Jumeirah,1720,3,4,"Gym, Kids Area, Pet Friendly, Pool, Security, Parking",Semi-Furnished,City,Damac,2013,3,102945,1536378,Apartment
The Springs,453,1,1,"Kids Area, Parking, Security, Balcony, Pool",Unfurnished,Street,Nakheel,2019,3,19096,459638,Apartment
The Springs,1703,2,3,"Pet Friendly, Kids Area, Security, Pool",Semi-Furnished,Park,Emaar,2022,1,110760,1879099,Apartment
The Springs,3084,3,4,"Kids Area, Balcony, Gym, Pet Friendly",Furnished,Street,Emaar,2020,3,172069,2939201,Townhouse
Dubai Marina,451,3,4,"Smart Home, Kids Area, Pool, Pet Friendly",Unfurnished,Park,Damac,2006,3,38243,618936,Apartment
The Springs,5200,3,3,"Parking, Gym, Kids Area",Unfurnished,Sea,Emaar,2014,3,212333,4797958,Villa
JLT,1990,2,2,"Balcony, Pet Friendly, Gym, Maid Room, Smart Home",Semi-Furnished,Sea,Sobha,2020,1,105746,2010488,Townhouse
Arabian Ranches,4346,4,3,"Gym, Parking, Kids Area, Security, Pet Friendly",Furnished,Sea,Damac,2011,2,452439,7800705,Villa
JVC,1918,2,1,"Gym, Maid Room, Security, Pet Friendly",Furnished,Park,Damac,2003,1,61283,1387861,Apartment
Dubai Marina,3018,5,5,"Balcony, Pool, Parking, Kids Area, Security, Pet Friendly",Semi-Furnished,Street,Sobha,2016,2,246921,5198046,Villa
Business Bay,5438,5,5,"Security, Parking, Pet Friendly",Furnished,Street,Sobha,2014,2,365616,7593241,Villa
Arabian Ranches,4987,6,6,"Kids Area, Maid Room, Smart Home, Gym",Semi-Furnished,Park,Emaar,2016,2,337545,6916316,Villa
Arabian Ranches,634,1,1,"Parking, Kids Area, Pool, Gym, Pet Friendly, Maid Room",Semi-Furnished,Park,Damac,2003,1,24413,605388,Apartment
Arabian Ranches,1562,2,1,"Pet Friendly, Security, Smart Home",Furnished,None,Nakheel,2003,3,83910,1440849,Apartment
Dubai Marina,1723,2,3,"Kids Area, Maid Room, Pool, Pet Friendly, Gym, Balcony",Semi-Furnished,Sea,Damac,2013,1,62156,1377149,Apartment
Arabian Ranches,884,3,2,"Gym, Maid Room, Balcony, Parking, Pool",Semi-Furnished,Sea,Azizi,2016,1,34714,857402,Apartment
Palm Jumeirah,1250,3,3,"Kids Area, Maid Room, Balcony, Gym, Security",Semi-Furnished,Street,Azizi,2001,2,81576,1173443,Apartment
Palm Jumeirah,2048,3,4,"Gym, Balcony, Maid Room",Furnished,Park,Emaar,2010,3,146063,3121670,Townhouse
Dubai Marina,1155,3,2,"Security, Gym, Smart Home",Furnished,City,Emaar,2008,2,92062,1444139,Apartment
The Springs,748,1,2,"Pool, Parking, Smart Home, Maid Room, Security, Balcony",Unfurnished,Street,Meraas,2003,3,48123,839309,Apartment
Palm Jumeirah,2459,4,4,"Pool, Security, Pet Friendly, Parking",Unfurnished,Sea,Damac,2017,1,222717,3588863,Townhouse
Business Bay,2807,6,5,"Gym, Balcony, Smart Home, Pet Friendly",Furnished,Street,Emaar,2010,1,284732,4530485,Villa
Arabian Ranches,3777,6,7,"Maid Room, Pool, Smart Home, Pet Friendly",Semi-Furnished,Street,Sobha,2019,3,197020,3788409,Villa
Dubai Marina,736,3,3,"Parking, Smart Home, Gym",Unfurnished,Sea,Nakheel,2000,2,25549,625323,Apartment
Palm Jumeirah,642,3,2,"Pet Friendly, Balcony, Pool, Smart Home, Security",Semi-Furnished,None,Damac,2001,2,25305,589401,Apartment
The Springs,4230,4,4,"Pet Friendly, Parking, Security, Smart Home",Unfurnished,None,Sobha,2016,2,159587,3845850,Villa
Business Bay,2249,2,1,"Security, Balcony, Gym",Unfurnished,Sea,Damac,2007,3,175826,3372403,Townhouse
The Springs,1903,3,3,"Balcony, Parking, Pet Friendly, Pool, Smart Home, Security",Unfurnished,None,Damac,2023,1,81300,1475574,Apartment
Palm Jumeirah,5992,4,3,"Pool, Parking, Maid Room, Smart Home, Balcony",Furnished,Sea,Meraas,2015,2,307997,6795252,Villa
JLT,2149,4,3,"Smart Home, Gym, Balcony, Pool, Pet Friendly",Furnished,Sea,Emaar,2018,3,250327,3847597,Townhouse
Downtown,5675,3,2,"Kids Area, Smart Home, Balcony, Maid Room, Parking",Unfurnished,City,Meraas,2015,2,266981,6607341,Villa
Arabian Ranches,1083,3,4,"Pool, Security, Kids Area, Smart Home, Gym, Maid Room",Semi-Furnished,Park,Meraas,2004,2,56296,1189421,Apartment
The Springs,1924,1,1,"Pool, Security, Kids Area, Pet Friendly, Smart Home, Balcony",Unfurnished,Park,Damac,2021,2,140376,2713601,Apartment
The Springs,2365,3,2,"Maid Room, Kids Area, Pet Friendly",Unfurnished,Sea,Sobha,2014,3,266666,4181681,Townhouse
JLT,417,2,3,"Smart Home, Parking, Security, Maid Room",Unfurnished,None,Meraas,2005,2,19052,454304,Apartment
JLT,483,1,1,"Gym, Smart Home, Parking",Furnished,Street,Damac,2021,1,15771,357382,Apartment
JLT,4556,4,3,"Parking, Balcony, Smart Home, Security, Gym",Semi-Furnished,Park,Emaar,2015,2,288376,4778007,Villa
The Springs,600,2,2,"Parking, Pet Friendly, Kids Area, Maid Room, Security",Furnished,Park,Damac,2004,2,33638,686056,Apartment
Dubai Marina,1686,2,3,"Pet Friendly, Maid Room, Gym, Pool",Unfurnished,Street,Meraas,2010,3,149833,2441165,Apartment
Palm Jumeirah,1355,2,2,"Gym, Maid Room, Pet Friendly, Balcony, Smart Home, Pool",Unfurnished,City,Nakheel,2018,3,79319,1352952,Apartment
JLT,1204,1,1,"Smart Home, Maid Room, Pet Friendly",Furnished,Sea,Emaar,2008,3,54702,945909,Apartment
JLT,1814,2,1,"Maid Room, Gym, Kids Area",Furnished,None,Nakheel,2017,3,117880,2673514,Apartment
Downtown,1036,3,2,"Balcony, Pool, Gym, Pet Friendly, Smart Home, Kids Area",Unfurnished,Sea,Nakheel,2006,1,72639,1117837,Apartment
Palm Jumeirah,649,2,2,"Parking, Balcony, Pet Friendly, Security, Maid Room, Smart Home",Unfurnished,None,Emaar,2013,1,35734,784613,Apartment
Business Bay,1918,3,4,"Smart Home, Maid Room, Parking, Pet Friendly",Unfurnished,Sea,Azizi,2015,2,122464,2367118,Apartment
Dubai Marina,1270,1,1,"Smart Home, Pool, Security, Balcony, Gym",Unfurnished,City,Emaar,2020,3,105268,1796512,Apartment
JVC,2526,2,2,"Security, Gym, Pool, Parking, Maid Room, Pet Friendly",Semi-Furnished,None,Sobha,2016,1,109643,2461579,Townhouse
Arabian Ranches,686,2,3,"Pet Friendly, Pool, Maid Room, Kids Area, Balcony",Semi-Furnished,Street,Azizi,2021,1,54008,796330,Apartment
JLT,1063,3,4,"Pet Friendly, Pool, Gym, Maid Room, Smart Home",Furnished,Sea,Meraas,2003,2,83532,1538572,Apartment
Business Bay,3455,4,3,"Parking, Pet Friendly, Smart Home",Semi-Furnished,Sea,Emaar,2019,2,206644,3159506,Townhouse
Dubai Marina,1166,3,4,"Parking, Kids Area, Gym",Unfurnished,Street,Sobha,2004,3,62154,1351421,Apartment
JLT,1790,2,1,"Parking, Pet Friendly, Smart Home, Security",Furnished,Sea,Azizi,2000,3,112682,2627479,Apartment
JVC,1810,3,3,"Kids Area, Parking, Maid Room",Unfurnished,None,Sobha,2006,1,134465,2480369,Townhouse
Arabian Ranches,1544,1,1,"Pet Friendly, Maid Room, Smart Home, Gym, Security, Kids Area",Furnished,None,Damac,2003,1,70492,1696809,Apartment
Arabian Ranches,993,2,2,"Pool, Parking, Smart Home, Gym, Security",Unfurnished,Park,Azizi,2019,3,55229,943142,Apartment
Dubai Marina,938,3,2,"Kids Area, Pet Friendly, Parking",Furnished,City,Emaar,2004,1,66179,1067134,Apartment
JVC,549,3,4,"Kids Area, Pool, Balcony",Unfurnished,None,Emaar,2017,2,38494,800047,Apartment
JVC,1417,3,2,"Pet Friendly, Smart Home, Parking, Pool, Gym",Furnished,Sea,Nakheel,2017,3,118929,1967129,Apartment
JVC,506,2,2,"Pet Friendly, Maid Room, Security, Pool",Furnished,Street,Emaar,2019,2,24976,496604,Apartment
JVC,588,3,2,"Pet Friendly, Gym, Maid Room, Smart Home",Unfurnished,Park,Emaar,2002,1,21401,471207,Apartment
JVC,1633,3,2,"Parking, Pet Friendly, Balcony, Kids Area, Gym",Unfurnished,Sea,Emaar,2008,3,86356,1412036,Apartment
Arabian Ranches,2251,3,4,"Kids Area, Security, Pet Friendly, Maid Room, Pool",Unfurnished,City,Damac,2022,3,122115,2934055,Townhouse
The Springs,5047,6,6,"Balcony, Parking, Pet Friendly",Unfurnished,Park,Damac,2023,3,261044,5101354,Villa
Downtown,881,3,3,"Pool, Gym, Balcony, Smart Home, Parking, Security",Unfurnished,Street,Damac,2002,1,47415,813404,Apartment
Palm Jumeirah,1183,2,2,"Balcony, Maid Room, Smart Home",Furnished,Street,Azizi,2001,3,62821,1116892,Apartment
Arabian Ranches,3046,3,3,"Gym, Kids Area, Smart Home, Security",Semi-Furnished,Street,Meraas,2023,1,277115,4896130,Townhouse
JLT,2895,3,3,"Parking, Pet Friendly, Balcony, Kids Area, Pool",Furnished,Sea,Damac,2021,2,121767,2563629,Townhouse
JLT,1208,1,2,"Kids Area, Security, Maid Room, Parking, Smart Home",Furnished,Sea,Damac,2018,3,55404,1155804,Apartment
Downtown,435,2,1,"Gym, Kids Area, Balcony, Smart Home, Security, Pool",Semi-Furnished,Sea,Azizi,2002,2,34868,616671,Apartment
Dubai Marina,928,2,2,"Parking, Balcony, Kids Area, Pool, Pet Friendly, Gym",Furnished,Sea,Meraas,2001,1,76198,1157729,Apartment
Arabian Ranches,1869,1,1,"Security, Gym, Kids Area, Parking, Maid Room",Unfurnished,Sea,Azizi,2007,2,81239,1471521,Apartment
Dubai Marina,885,1,1,"Pet Friendly, Pool, Kids Area, Balcony, Parking",Furnished,Sea,Damac,2019,2,44755,856669,Apartment
Arabian Ranches,1002,3,2,"Kids Area, Gym, Parking, Pool",Unfurnished,Sea,Emaar,2019,1,74638,1349120,Apartment
Arabian Ranches,2575,4,3,"Pet Friendly, Pool, Gym, Smart Home",Unfurnished,None,Azizi,2020,3,221863,3949924,Townhouse
Dubai Marina,2880,2,3,"Maid Room, Smart Home, Parking, Pet Friendly, Pool, Kids Area",Furnished,City,Nakheel,2024,2,146798,2968965,Townhouse
Dubai Marina,4322,6,6,"Kids Area, Pool, Parking",Unfurnished,Street,Azizi,2007,2,321497,6856006,Villa
Downtown,2301,3,4,"Security, Maid Room, Parking, Pet Friendly",Furnished,Sea,Sobha,2013,3,235035,4103253,Townhouse
Business Bay,2729,2,1,"Pet Friendly, Security, Maid Room",Unfurnished,Street,Meraas,2003,1,296208,4555953,Townhouse
JVC,2799,4,5,"Pet Friendly, Kids Area, Pool, Balcony, Security, Maid Room",Unfurnished,City,Emaar,2010,2,227838,3894746,Villa
JVC,1126,2,2,"Pet Friendly, Security, Maid Room, Balcony, Pool, Smart Home",Unfurnished,None,Azizi,2002,1,92198,1594955,Apartment
Arabian Ranches,4357,6,6,"Parking, Security, Pet Friendly, Gym, Pool, Maid Room",Semi-Furnished,City,Emaar,2018,3,424443,7395143,Villa
The Springs,1186,2,1,"Gym, Balcony, Smart Home, Security",Semi-Furnished,None,Azizi,2010,1,52151,1159761,Apartment
JLT,1298,1,1,"Security, Pool, Smart Home, Kids Area, Parking",Furnished,Sea,Nakheel,2017,3,69086,1692451,Apartment
JVC,2905,4,3,"Smart Home, Gym, Parking",Furnished,City,Azizi,2013,3,158337,3616215,Townhouse
Palm Jumeirah,624,3,4,"Smart Home, Pet Friendly, Balcony",Semi-Furnished,Sea,Nakheel,2008,3,53213,770622,Apartment
Dubai Marina,3411,3,3,"Maid Room, Kids Area, Parking, Balcony",Unfurnished,None,Meraas,2024,1,254130,5139728,Villa
JVC,1844,3,3,"Maid Room, Gym, Kids Area, Pet Friendly",Furnished,Park,Nakheel,2018,2,120120,2577343,Apartment
Business Bay,710,2,1,"Security, Parking, Pool, Kids Area, Gym, Pet Friendly",Furnished,Street,Emaar,2015,3,51747,844171,Apartment
JVC,938,3,3,"Kids Area, Smart Home, Security, Maid Room",Furnished,City,Nakheel,2009,3,65218,1020588,Apartment
The Springs,1512,2,2,"Balcony, Pool, Pet Friendly",Semi-Furnished,Street,Sobha,2010,1,80847,1859661,Apartment
Palm Jumeirah,3152,2,2,"Parking, Smart Home, Pet Friendly, Balcony, Security, Kids Area",Unfurnished,Park,Emaar,2009,2,274860,4121200,Townhouse
The Springs,1980,2,2,"Pet Friendly, Maid Room, Smart Home, Balcony, Kids Area",Semi-Furnished,City,Emaar,2008,2,127468,2539447,Apartment
JVC,1239,1,2,"Maid Room, Balcony, Pet Friendly, Kids Area",Furnished,None,Azizi,2010,1,59554,1466937,Apartment
JVC,1984,4,4,"Maid Room, Pool, Kids Area, Gym, Security",Furnished,City,Azizi,2006,1,168568,3250087,Townhouse
Business Bay,730,2,2,"Balcony, Maid Room, Gym, Pet Friendly, Kids Area, Security",Unfurnished,Street,Sobha,2001,1,27544,676324,Apartment
Business Bay,1935,1,1,"Parking, Security, Pet Friendly, Gym, Kids Area, Smart Home",Unfurnished,Street,Emaar,2000,3,153490,2639729,Apartment
Downtown,1604,2,1,"Kids Area, Pet Friendly, Security, Maid Room, Gym",Semi-Furnished,City,Sobha,2006,1,87249,1461911,Apartment
Palm Jumeirah,1279,1,1,"Maid Room, Security, Balcony, Parking, Smart Home, Pool",Semi-Furnished,Sea,Sobha,2023,2,117513,1868831,Apartment
Dubai Marina,1583,1,1,"Smart Home, Kids Area, Balcony, Security",Furnished,City,Damac,2004,3,100462,2343875,Apartment
Downtown,1403,3,2,"Parking, Pet Friendly, Security",Semi-Furnished,None,Meraas,2018,1,57446,1048246,Apartment
The Springs,1091,1,1,"Pet Friendly, Gym, Parking, Kids Area, Pool",Unfurnished,Street,Azizi,2015,2,75368,1601130,Apartment
Palm Jumeirah,4607,3,2,"Pool, Pet Friendly, Maid Room, Gym, Smart Home, Kids Area",Furnished,Park,Sobha,2003,1,425959,7765111,Villa
Palm Jumeirah,1520,2,2,"Security, Pool, Balcony",Semi-Furnished,City,Azizi,2010,3,122120,2145686,Apartment
Downtown,1471,3,2,"Maid Room, Security, Balcony, Pet Friendly, Pool",Semi-Furnished,Park,Nakheel,2016,3,80820,2005747,Apartment
The Springs,1363,1,1,"Balcony, Maid Room, Kids Area, Gym, Security",Semi-Furnished,City,Emaar,2001,3,65483,1465164,Apartment
Arabian Ranches,3425,5,6,"Balcony, Security, Parking",Semi-Furnished,None,Meraas,2009,2,254181,4878915,Villa
JLT,1713,3,2,"Parking, Pool, Kids Area",Furnished,City,Nakheel,2008,3,85591,1339322,Apartment
The Springs,1981,3,4,"Smart Home, Balcony, Pool, Gym, Pet Friendly",Furnished,Sea,Azizi,2004,1,109154,1647904,Apartment
Arabian Ranches,506,1,2,"Pet Friendly, Smart Home, Parking, Maid Room, Security, Gym",Furnished,None,Sobha,2012,2,32420,640087,Apartment
Arabian Ranches,1639,1,1,"Parking, Pet Friendly, Security, Balcony, Kids Area",Unfurnished,City,Meraas,2003,3,138606,2327068,Apartment
Downtown,1148,2,3,"Pet Friendly, Balcony, Security, Maid Room, Pool",Semi-Furnished,City,Nakheel,2023,1,49988,983455,Apartment
Business Bay,1035,2,1,"Security, Gym, Maid Room, Parking, Smart Home",Unfurnished,City,Meraas,2015,2,46309,760863,Apartment
JLT,517,3,2,"Smart Home, Maid Room, Pool, Balcony, Security, Gym",Furnished,City,Emaar,2019,3,26402,425260,Apartment
Downtown,644,1,1,"Kids Area, Pool, Pet Friendly",Unfurnished,City,Nakheel,2020,3,41520,830736,Apartment
Arabian Ranches,2146,4,5,"Maid Room, Gym, Kids Area, Balcony, Pet Friendly",Unfurnished,Sea,Emaar,2006,3,97599,2033364,Townhouse
Downtown,964,3,2,"Parking, Gym, Maid Room, Pet Friendly, Security, Kids Area",Furnished,City,Sobha,2018,3,50333,741196,Apartment
Dubai Marina,585,1,2,"Parking, Kids Area, Security",Unfurnished,Sea,Nakheel,2000,1,38100,708058,Apartment
Business Bay,1794,3,2,"Security, Gym, Balcony, Kids Area",Semi-Furnished,Park,Damac,2004,3,79929,1708664,Apartment
Business Bay,808,1,1,"Smart Home, Security, Gym, Balcony, Parking",Unfurnished,City,Damac,2024,3,58636,903694,Apartment
Downtown,1598,2,1,"Pet Friendly, Kids Area, Smart Home, Maid Room",Semi-Furnished,Park,Damac,2022,3,113610,1823779,Apartment
JLT,1983,1,1,"Smart Home, Security, Gym, Pet Friendly",Unfurnished,Park,Sobha,2004,2,118661,2319032,Apartment
The Springs,2638,5,6,"Kids Area, Gym, Pool",Semi-Furnished,Street,Damac,2010,3,204916,4492460,Villa
Arabian Ranches,1356,3,2,"Smart Home, Maid Room, Security",Unfurnished,Street,Meraas,2012,2,88209,1854027,Apartment
Arabian Ranches,4476,6,6,"Balcony, Pool, Maid Room",Semi-Furnished,City,Azizi,2012,3,205331,3708612,Villa
JLT,3228,4,3,"Parking, Kids Area, Pet Friendly, Gym",Furnished,City,Nakheel,2011,2,207772,3860668,Townhouse
Downtown,752,2,2,"Parking, Balcony, Pet Friendly",Furnished,Street,Emaar,2023,1,35080,619129,Apartment
Arabian Ranches,726,2,1,"Maid Room, Pet Friendly, Kids Area, Pool, Balcony, Security",Semi-Furnished,Park,Emaar,2012,1,47170,693101,Apartment
The Springs,3659,6,7,"Maid Room, Pool, Parking, Balcony, Security, Gym",Furnished,None,Nakheel,2024,1,214729,4277856,Villa
JVC,5578,6,5,"Parking, Smart Home, Pool, Gym",Furnished,City,Sobha,2002,2,299829,6604723,Villa
Downtown,1192,3,3,"Security, Pet Friendly, Pool",Furnished,Street,Meraas,2016,1,54277,1277750,Apartment
Dubai Marina,4156,3,2,"Parking, Pet Friendly, Kids Area, Balcony, Gym",Semi-Furnished,Street,Sobha,2024,1,218923,4583878,Villa
Dubai Marina,5786,6,7,"Smart Home, Kids Area, Pet Friendly, Security, Parking",Furnished,Park,Sobha,2017,2,409774,9664438,Villa
JVC,1849,3,3,"Maid Room, Smart Home, Balcony, Gym",Semi-Furnished,City,Emaar,2003,2,81971,1975102,Apartment
Arabian Ranches,1091,3,3,"Maid Room, Security, Pool",Semi-Furnished,City,Sobha,2000,2,61858,1047039,Apartment
Dubai Marina,474,3,4,"Balcony, Parking, Gym, Security, Pet Friendly, Pool",Unfurnished,Park,Meraas,2015,2,33758,670318,Apartment
Palm Jumeirah,3499,6,5,"Kids Area, Maid Room, Gym",Furnished,None,Meraas,2020,1,287037,4135513,Villa
Dubai Marina,1704,3,3,"Pet Friendly, Gym, Pool, Kids Area, Parking, Smart Home",Semi-Furnished,Sea,Nakheel,2018,2,149037,2549072,Apartment
Business Bay,2700,5,6,"Balcony, Pet Friendly, Parking, Kids Area, Pool, Smart Home",Unfurnished,Sea,Azizi,2012,1,192295,3991162,Villa
The Springs,1248,3,2,"Security, Smart Home, Maid Room, Kids Area, Parking",Furnished,Park,Nakheel,2000,3,50197,1197689,Apartment
JLT,4995,6,7,"Kids Area, Pet Friendly, Balcony, Security, Gym, Parking",Semi-Furnished,City,Damac,2014,1,392559,6303428,Villa
Business Bay,748,3,3,"Pet Friendly, Gym, Kids Area, Security, Smart Home",Unfurnished,Street,Azizi,2011,1,45051,647798,Apartment
Arabian Ranches,1937,2,2,"Gym, Parking, Security, Pet Friendly, Pool, Smart Home",Unfurnished,Street,Sobha,2024,1,122274,2520251,Apartment
Palm Jumeirah,2568,4,3,"Pool, Maid Room, Balcony, Smart Home, Kids Area, Gym",Unfurnished,City,Nakheel,2005,3,258113,4568206,Townhouse
Arabian Ranches,4212,5,5,"Pool, Kids Area, Security, Pet Friendly, Smart Home",Semi-Furnished,Park,Sobha,2015,2,309923,4575425,Villa
Downtown,2163,3,3,"Maid Room, Kids Area, Pet Friendly",Semi-Furnished,Park,Meraas,2003,2,156855,2985281,Townhouse
The Springs,1703,1,2,"Parking, Pool, Security, Pet Friendly",Unfurnished,Street,Emaar,2010,3,87480,1532619,Apartment
Palm Jumeirah,4016,3,4,"Maid Room, Balcony, Pet Friendly, Pool, Smart Home, Parking",Unfurnished,Park,Nakheel,2015,3,343453,6913084,Villa
JLT,463,1,2,"Smart Home, Balcony, Kids Area, Security, Maid Room, Pool",Furnished,Street,Azizi,2020,1,40500,621785,Apartment
